Rank,NOC,Gold,Silver,Bronze,Total,Year
11,Mixed team,1,0,1,2,1896
4,Mixed team,8,5,6,19,1900
14,Luxembourg,1,0,0,1,1900
20,Bohemia,0,1,1,2,1900
5,Mixed team,2,1,1,4,1904
11,Australasia,1,2,2,5,1908
12,Russian Empire,1,2,0,3,1908
17,Bohemia,0,0,2,2,1908
12,Australasia,2,2,3,7,1912
16,Russian Empire,0,2,3,5,1912
19,Luxembourg,0,1,0,1,1920
21,Czechoslovakia,0,0,2,2,1920
14,Yugoslavia,2,0,0,2,1924
15,Czechoslovakia,1,4,5,10,1924
19,Uruguay,1,0,0,1,1924
23,Haiti,0,0,1,1,1924
14,Czechoslovakia,2,5,2,9,1928
21,Yugoslavia,1,1,3,5,1928
24,Uruguay,1,0,0,1,1928
30,Haiti,0,1,0,1,1928
1,United States ,44,36,30,110,1932
2,Italy ,12,12,12,36,1932
3,France ,11,5,4,20,1932
4,Sweden ,10,5,9,24,1932
5,Japan ,7,7,4,18,1932
6,Hungary ,6,5,5,16,1932
7,Germany ,5,12,7,24,1932
8,Finland ,5,8,12,25,1932
9,Great Britain ,5,7,5,17,1932
10,Poland ,3,2,4,9,1932
11,Australia ,3,1,1,5,1932
12,Argentina ,3,1,0,4,1932
13,Canada ,2,5,9,16,1932
14,Netherlands ,2,5,1,8,1932
15,South Africa ,2,0,3,5,1932
16,Ireland ,2,0,0,2,1932
17,Czechoslovakia ,1,3,2,6,1932
18,Austria ,1,1,3,5,1932
19,India ,1,0,0,1,1932
20,Denmark ,0,5,3,8,1932
21,Mexico ,0,2,0,2,1932
22,Latvia ,0,1,0,1,1932
22,New Zealand ,0,1,0,1,1932
22,Switzerland ,0,1,0,1,1932
25,Philippines ,0,0,3,3,1932
26,Belgium ,0,0,1,1,1932
26,Spain ,0,0,1,1,1932
26,Uruguay ,0,0,1,1,1932
13,Czechoslovakia,3,5,1,9,1936
25,Yugoslavia,0,1,0,1,1936
8,Czechoslovakia,6,2,3,11,1948
24,Yugoslavia,0,2,0,2,1948
26,Uruguay,0,1,1,2,1948
28,Ceylon,0,1,0,1,1948
28,Trinidad and Tobago,0,1,0,1,1948
6,Czechoslovakia,7,3,3,13,1952
21,Yugoslavia,1,2,0,3,1952
27,Luxembourg,1,0,0,1,1952
32,Lebanon,0,1,1,2,1952
37,Trinidad and Tobago,0,0,2,2,1952
37,Uruguay,0,0,2,2,1952
7,United Team of Germany,6,13,7,26,1956
18,Czechoslovakia,1,4,1,6,1956
26,Yugoslavia,0,3,0,3,1956
31,Iceland,0,1,0,1,1956
35,Uruguay,0,0,1,1,1956
1,Soviet Union ,43,29,31,103,1960
2,United States ,34,21,16,71,1960
3,Italy ,13,10,13,36,1960
4,United Team of Germany ,12,19,11,42,1960
5,Australia ,8,8,6,22,1960
6,Turkey ,7,2,0,9,1960
7,Hungary ,6,8,7,21,1960
8,Japan ,4,7,7,18,1960
9,Poland ,4,6,11,21,1960
10,Czechoslovakia ,3,2,3,8,1960
11,Romania ,3,1,6,10,1960
12,Great Britain ,2,6,12,20,1960
13,Denmark ,2,3,1,6,1960
14,New Zealand ,2,0,1,3,1960
15,Bulgaria ,1,3,3,7,1960
16,Sweden ,1,2,3,6,1960
17,Finland ,1,1,3,5,1960
18,Austria ,1,1,0,2,1960
18,Yugoslavia ,1,1,0,2,1960
20,Pakistan ,1,0,1,2,1960
21,Ethiopia ,1,0,0,1,1960
21,Greece ,1,0,0,1,1960
21,Norway ,1,0,0,1,1960
24,Switzerland ,0,3,3,6,1960
25,France ,0,2,3,5,1960
26,Belgium ,0,2,2,4,1960
27,Iran ,0,1,3,4,1960
28,Netherlands ,0,1,2,3,1960
28,South Africa ,0,1,2,3,1960
30,Argentina ,0,1,1,2,1960
30,Egypt ,0,1,1,2,1960
32,Canada ,0,1,0,1,1960
32,Formosa ,0,1,0,1,1960
32,Ghana ,0,1,0,1,1960
32,India ,0,1,0,1,1960
32,Morocco ,0,1,0,1,1960
32,Portugal ,0,1,0,1,1960
32,Singapore ,0,1,0,1,1960
39,Brazil ,0,0,2,2,1960
39,British West Indies ,0,0,2,2,1960
41,Iraq ,0,0,1,1,1960
41,Mexico ,0,0,1,1,1960
41,Spain ,0,0,1,1,1960
41,Venezuela ,0,0,1,1,1960
4,United Team of Germany,10,22,18,50,1964
9,Czechoslovakia,5,6,3,14,1964
19,Yugoslavia,2,1,2,5,1964
28,Trinidad and Tobago,0,1,2,3,1964
35,Uruguay,0,0,1,1,1964
7,Czechoslovakia,7,2,4,13,1968
16,Yugoslavia,3,3,2,8,1968
39,Cameroon,0,1,0,1,1968
42,Taiwan,0,0,1,1,1968
18,Czechoslovakia,2,4,2,8,1972
20,Yugoslavia,2,1,2,5,1972
33,Lebanon,0,1,0,1,1972
43,Niger,0,0,1,1,1972
16,Yugoslavia,2,3,3,8,1976
17,Czechoslovakia,2,2,4,8,1976
26,Trinidad and Tobago,1,0,0,1,1976
13,Czechoslovakia,2,3,9,14,1980
14,Yugoslavia,2,3,4,9,1980
23,Zimbabwe,1,0,0,1,1980
28,Tanzania,0,2,0,2,1980
35,Guyana,0,0,1,1,1980
35,Lebanon,0,0,1,1,1980
9,Yugoslavia,7,4,7,18,1984
43,Cameroon,0,0,1,1,1984
43,Iceland,0,0,1,1,1984
16,Yugoslavia,3,4,5,12,1988
17,Czechoslovakia,3,3,2,8,1988
29,Suriname,1,0,0,1,1988
36,Costa Rica,0,1,0,1,1988
36,Netherlands Antilles,0,1,0,1,1988
36,Senegal,0,1,0,1,1988
36,Virgin Islands,0,1,0,1,1988
46,Djibouti,0,0,1,1,1988
15,Czechoslovakia,4,2,1,7,1992
44,Independent Olympic Participants,0,1,2,3,1992
54,Suriname,0,0,1,1,1992
41,FR Yugoslavia,1,1,2,4,1996
49,Burundi,1,0,0,1,1996
49,Costa Rica,1,0,0,1,1996
61,Tonga,0,1,0,1,1996
68,Trinidad and Tobago,0,0,2,2,1996
71,Mozambique,0,0,1,1,1996
44,FR Yugoslavia,1,1,1,3,2000
50,Cameroon,1,0,0,1,2000
50,Mozambique,1,0,0,1,2000
61,Trinidad and Tobago,0,1,1,2,2000
64,Sri Lanka,0,1,0,1,2000
64,Uruguay,0,1,0,1,2000
64,Vietnam,0,1,0,1,2000
69,Costa Rica,0,0,2,2,2000
71,Barbados,0,0,1,1,2000
71,Iceland,0,0,1,1,2000
71,Macedonia,0,0,1,1,2000
49,Zimbabwe,1,1,1,3,2004
54,Cameroon,1,0,0,1,2004
54,United Arab Emirates,1,0,0,1,2004
61,Serbia and Montenegro,0,2,0,2,2004
65,Paraguay,0,1,0,1,2004
71,Eritrea,0,0,1,1,2004
71,Trinidad and Tobago,0,0,1,1,2004
38,Zimbabwe,1,3,0,4,2008
47,Trinidad and Tobago,1,1,0,2,2008
53,Cameroon,1,0,0,1,2008
72,Iceland,0,1,0,1,2008
72,Samoa,0,1,0,1,2008
72,Sudan,0,1,0,1,2008
72,Vietnam,0,1,0,1,2008
82,Afghanistan,0,0,1,1,2008
82,Mauritius,0,0,1,1,2008
82,Togo,0,0,1,1,2008
42,Trinidad and Tobago,1,1,2,4,2012
70,Gabon,0,1,0,1,2012
70,Montenegro,0,1,0,1,2012
79,Afghanistan,0,0,1,1,2012
79,Cameroon,0,0,1,1,2012
79,Vietnam,0,0,1,1,2012
48,Vietnam,1,1,0,2,2016
51,Independent Olympic Athletes,1,0,1,2,2016
69,Burundi,0,1,0,1,2016
69,Niger,0,1,0,1,2016
78,Trinidad and Tobago,0,0,1,1,2016
78,United Arab Emirates,0,0,1,1,2016
