Rank,NOC,Gold,Silver,Bronze,Total,Year,Events_Participated,NA,ER,HE,Score,Score_Lag1,Score_Lag2,AP,Mundlak_ER,Mundlak_NM,Const
80,Albania,0,0,2,2,2024,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.0,1
42,Algeria,0,0,2,2,1984,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,4.75,1
34,Algeria,1,0,1,2,1992,0.0,0.0,0.0,0,4,2.0,0.0,2.0,0.0,4.75,1
34,Algeria,2,0,1,3,1996,0.0,0.0,0.0,0,7,4.0,2.0,6.0,0.0,4.75,1
42,Algeria,1,1,3,5,2000,0.0,0.0,0.0,0,8,7.0,4.0,11.0,0.0,4.75,1
68,Algeria,0,1,1,2,2008,0.0,0.0,0.0,0,3,8.0,7.0,15.0,0.0,4.75,1
50,Algeria,1,0,0,1,2012,0.0,0.0,0.0,0,3,3.0,8.0,11.0,0.0,4.75,1
63,Algeria,0,2,0,2,2016,0.0,0.0,0.0,0,4,3.0,3.0,6.0,0.0,4.75,1
39,Algeria,2,0,1,3,2024,0.0,0.0,0.0,0,7,4.0,3.0,7.0,0.0,4.75,1
16,Argentina,1,3,2,6,1924,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0,7.2105263157894735,1
12,Argentina,3,3,1,7,1928,0.0,0.0,0.0,0,16,11.0,0.0,11.0,0.0,7.2105263157894735,1
14,Argentina,2,2,3,7,1936,0.0,0.0,0.0,0,13,16.0,11.0,27.0,0.0,7.2105263157894735,1
13,Argentina,3,3,1,7,1948,0.0,0.0,0.0,0,16,13.0,16.0,29.0,0.0,7.2105263157894735,1
19,Argentina,1,2,2,5,1952,0.0,0.0,0.0,0,9,16.0,13.0,29.0,0.0,7.2105263157894735,1
29,Argentina,0,1,1,2,1956,0.0,0.0,0.0,0,3,9.0,16.0,25.0,0.0,7.2105263157894735,1
30,Argentina,0,1,0,1,1964,0.0,0.0,0.0,0,2,3.0,9.0,12.0,0.0,7.2105263157894735,1
41,Argentina,0,0,2,2,1968,0.0,0.0,0.0,0,2,2.0,3.0,5.0,0.0,7.2105263157894735,1
33,Argentina,0,1,0,1,1972,0.0,0.0,0.0,0,2,2.0,2.0,4.0,0.0,7.2105263157894735,1
35,Argentina,0,1,1,2,1988,0.0,0.0,0.0,0,3,2.0,2.0,4.0,0.0,7.2105263157894735,1
54,Argentina,0,0,1,1,1992,0.0,0.0,0.0,0,1,3.0,2.0,5.0,0.0,7.2105263157894735,1
54,Argentina,0,2,1,3,1996,0.0,0.0,0.0,0,5,1.0,3.0,4.0,0.0,7.2105263157894735,1
57,Argentina,0,2,2,4,2000,0.0,0.0,0.0,0,6,5.0,1.0,6.0,0.0,7.2105263157894735,1
38,Argentina,2,0,4,6,2004,0.0,0.0,0.0,0,10,6.0,5.0,11.0,0.0,7.2105263157894735,1
35,Argentina,2,0,4,6,2008,0.0,0.0,0.0,0,10,10.0,6.0,16.0,0.0,7.2105263157894735,1
42,Argentina,1,1,2,4,2012,0.0,0.0,0.0,0,7,10.0,10.0,20.0,0.0,7.2105263157894735,1
26,Argentina,3,1,0,4,2016,0.0,0.0,0.0,0,11,7.0,10.0,17.0,0.0,7.2105263157894735,1
