Year,NOC,Events_Participated,NA,Total,ER,HE,Mundlak_NM,Const
1896,AUS,5,1,0.0,0.04672897196261682,0,0.0,1
1896,AUT,8,3,0.0,0.07476635514018691,0,0.0,1
1896,DEN,12,3,0.0,0.11214953271028037,0,0.0,1
1896,GER,27,19,0.0,0.2523364485981308,0,0.0,1
1896,GRE,39,102,0.0,0.3644859813084112,0,0.0,1
1896,HUN,14,7,0.0,0.1308411214953271,0,0.0,1
1896,ITA,1,1,0.0,0.009345794392523364,0,0.0,1
1896,SUI,5,3,0.0,0.04672897196261682,0,0.0,1
1896,SWE,5,1,0.0,0.04672897196261682,0,0.0,1
1900,ARG,1,1,0.0,0.00423728813559322,0,0.0,1
1900,AUS,6,2,0.0,0.025423728813559324,0,0.0,1
1900,AUT,17,16,0.0,0.07203389830508475,0,0.0,1
1900,BEL,31,64,0.0,0.13135593220338984,0,0.0,1
1900,BOH,9,7,0.0,0.038135593220338986,0,0.0,1
1900,BRA,3,1,0.0,0.012711864406779662,0,0.0,1
1900,CAN,5,4,0.0,0.0211864406779661,0,0.0,1
1900,COL,1,1,0.0,0.00423728813559322,0,0.0,1
1900,CUB,2,1,0.0,0.00847457627118644,0,0.0,1
1900,DEN,14,13,0.0,0.059322033898305086,0,0.0,1
1900,ESP,7,9,0.0,0.029661016949152543,0,0.0,1
1900,GER,27,76,0.0,0.11440677966101695,0,0.0,1
1900,GRE,3,3,0.0,0.012711864406779662,0,0.0,1
1900,HAI,4,3,0.0,0.01694915254237288,0,0.0,1
1900,HUN,21,18,0.0,0.08898305084745763,0,0.0,1
1900,IND,5,1,0.0,0.0211864406779661,0,0.0,1
1900,IRI,1,1,0.0,0.00423728813559322,0,0.0,1
1900,ITA,17,23,0.0,0.07203389830508475,0,0.0,1
1900,LUX,1,1,0.0,0.00423728813559322,0,0.0,1
1900,MEX,1,1,0.0,0.00423728813559322,0,0.0,1
1900,NED,18,35,0.0,0.07627118644067797,0,0.0,1
1900,NOR,9,7,0.0,0.038135593220338986,0,0.0,1
1900,NZL,1,1,0.0,0.00423728813559322,0,0.0,1
1900,PER,2,1,0.0,0.00847457627118644,0,0.0,1
1900,ROU,1,1,0.0,0.00423728813559322,0,0.0,1
1900,RUS,3,4,0.0,0.012711864406779662,0,0.0,1
1900,SUI,14,18,0.0,0.059322033898305086,0,0.0,1
1900,SWE,16,10,0.0,0.06779661016949153,0,0.0,1
1904,AUS,6,2,0.0,0.026785714285714284,0,0.0,1
1904,AUT,7,2,0.0,0.03125,0,0.0,1
1904,CAN,15,55,0.0,0.06696428571428571,0,0.0,1
1904,CUB,5,3,0.0,0.022321428571428572,0,0.0,1
1904,GER,25,22,0.0,0.11160714285714286,0,0.0,1
1904,GRE,5,14,0.0,0.022321428571428572,0,0.0,1
1904,HUN,9,4,0.0,0.04017857142857143,0,0.0,1
1904,ITA,1,1,0.0,0.004464285714285714,0,0.0,1
1904,NFL,1,1,0.0,0.004464285714285714,0,0.0,1
1904,NOR,6,3,0.0,0.026785714285714284,0,0.0,1
1904,RSA,2,8,0.0,0.008928571428571428,0,0.0,1
1904,SUI,4,3,0.0,0.017857142857142856,0,0.0,1
